temperature,humidity,pressure,wind_speed,precipitation
25.5,65,1013.2,12.3,0
28.3,70,1012.8,15.7,2.1
22.1,80,1014.5,8.5,5.3
30.2,55,1010.3,18.2,0
26.7,75,1013.9,10.1,1.5
24.8,68,1015.1,11.4,0.8
29.5,62,1011.7,16.8,0
21.3,85,1016.2,7.2,8.2
27.4,58,1012.5,13.9,0
23.9,72,1014.3,9.6,3.4
31.1,50,1009.8,20.1,0
25.2,77,1013.6,11.8,2.7
20.5,90,1017.1,6.3,12.5
28.8,64,1011.4,14.5,0.5
26.1,69,1013.8,12.7,1.2
32.3,48,1008.9,22.4,0
24.3,74,1014.9,10.3,4.1
22.8,82,1015.7,8.9,6.8
27.9,60,1012.1,15.2,0.3
25.6,71,1013.4,11.1,2.3
29.7,54,1010.6,17.5,0
23.5,78,1015.3,9.8,3.9
21.8,88,1016.8,7.6,10.1
26.9,66,1013.0,12.9,1.8
24.7,73,1014.6,10.7,2.9
30.8,52,1009.5,19.3,0
22.4,81,1015.9,8.7,7.3
28.1,63,1011.9,14.8,0.7
25.9,70,1013.7,11.5,1.9
27.2,59,1012.3,15.9,0.2